name,latitude,longitude
Büchl,47.22,15.66
Farcha,47.19,15.67
Krottendorf,47.21,15.65
Nöstl,47.23,15.66
Preding,47.20,15.64
Regerstätten,47.20,15.66
Kulming,47.21,15.76
Rohrbach,47.19,15.78
Labuch,47.07,15.68
Urscha,47.09,15.71
Hart,47.27,15.50
Laßnitzthal,47.08,15.65
Flöcking,47.09,15.67
Ludersdorf,47.12,15.68
Pircha,47.10,15.65
Wilfersdorf,47.11,15.67
Bergviertel,47.38,15.76
Hinterleitenviertel,47.38,15.76
Dorfviertel,47.37,15.75
Dörfl,47.15,15.64
Hohenkogl,47.19,15.60
Mitterdorf,47.17,15.61
Oberdorf,47.49,15.73
Obergreith,47.19,15.62
Pichl,47.17,15.63
Untergreith,47.19,15.63
Göttelsberg,47.21,15.61
Hafning,47.20,15.61
Haselbach,47.23,15.57
Leska,47.22,15.58
Mortantsch,47.22,15.59
Steinberg,47.20,15.59
Affental,47.24,15.59
Birchbaum,47.23,15.60
Dürntal,47.25,15.56
Gschaid,47.26,15.57
Naas,47.25,15.60
Naintsch,47.30,15.67
Offenegg,47.34,15.62
Amstein,47.21,15.45
Oberneudorf,47.25,15.46
Unterneudorf,47.24,15.45
Arnwiesen,47.10,15.77
Gamling,47.13,15.73
Kaltenbrunn,47.11,15.76
Nitscha,47.13,15.75
Oberrettenbach,47.14,15.83
Rothgmos,47.16,15.82
Hart,47.27,15.50
Passail,47.28,15.52
Tober,47.28,15.49
Hart,47.27,15.50
Kleinpesendorf,47.20,15.80
Pischelsdorf,47.17,15.81
Romatschachen,47.20,15.79
Schachen,47.16,15.83
Preßguts,47.17,15.73
Schirnitz,47.19,15.72
Elz,47.20,15.74
Höfling,47.22,15.76
Harl,47.24,15.72
Klettendorf,47.22,15.70
Perndorf,47.22,15.70
Puch,47.22,15.73
Grubbauer,47.52,15.74
Kirchenviertel,47.49,15.73
Reichendorf,47.19,15.76
Feistritzwald,47.53,15.85
Inneres Kaltenegg,47.51,15.79
Rettenegg,47.53,15.78
Landau,47.48,15.68
St. Kathrein,47.49,15.69
Entschendorf,47.05,15.72
Goggitsch,47.03,15.70
Kroisbach,47.04,15.72
St. Margarethen,47.05,15.75
Sulz,47.07,15.74
Takern,47.06,15.75
Takern,47.04,15.78
Zöbing,47.02,15.76
Fünfing,47.14,15.66
Grub,47.17,15.65
Sankt Ruprecht,47.15,15.66
Wolfgruben,47.14,15.65
Egelsdorf,47.12,15.81
Frösau,47.08,15.80
Fünfing,47.12,15.77
Gnies,47.10,15.85
Nagl,47.11,15.86
Obergroßau,47.10,15.79
Sinabelkirchen,47.10,15.83
Untergroßau,47.10,15.81
Unterrettenbach,47.12,15.84
Plenzengreith,47.21,15.48
Stenzengreith,47.20,15.51
Stockheim,47.20,15.51
Außeregg,47.37,15.73
Feistritz,47.42,15.70
Pacher,47.44,15.73
Strallegg,47.41,15.72
Alterilz,47.23,15.69
Grub,47.25,15.69
Landscha,47.23,15.63
Oberdorf,47.24,15.64
Oberfladnitz-Thannhausen,47.23,15.64
Peesen,47.23,15.67
Ponigl,47.27,15.63
Raas,47.24,15.65
Trennstein,47.26,15.66
Ungerdorf,47.09,15.68
Arndorf,47.16,15.67
Dietmannsdorf,47.15,15.68
Kühwiesen,47.15,15.69
Neudorf,47.18,15.69
Unterfladnitz,47.18,15.67
Wollsdorf,47.14,15.69
Piregg,47.39,15.65
Waisenegg,47.39,15.68
Weiz,47.22,15.62
