name,latitude,longitude
Waldstein,47.22,15.29
Dobl,46.95,15.38
Muttendorf,46.94,15.36
Petzendorf,46.92,15.38
Weinzettl,46.94,15.35
Edelsgrub,47.03,15.61
Edelsbach,47.03,15.62
Eggersdorf,47.12,15.60
Eisbach,47.13,15.28
Hörgas,47.14,15.30
Rein,47.14,15.29
Abtissendorf,47.00,15.45
Feldkirchen,47.01,15.44
Lebern,47.02,15.45
Wagnitz,46.99,15.46
Fernitz,46.97,15.50
Gnaning,46.97,15.53
Adriach,47.27,15.31
Badl,47.23,15.34
Brunnhof,47.27,15.33
Frohnleiten,47.27,15.33
Gams,47.28,15.28
Gamsgraben,47.30,15.25
Hofamt,47.25,15.26
Laas,47.26,15.34
Laufnitzdorf,47.29,15.32
Laufnitzgraben,47.33,15.28
Maria Ebenort,47.29,15.32
Peugen,47.29,15.31
Pfannberg,47.25,15.35
Rothleiten,47.28,15.31
Schönau,47.26,15.40
Schrauding,47.24,15.33
Schweizerfabrik,47.28,15.31
Ungersdorf,47.25,15.32
Wannersdorf,47.28,15.32
Dörfla,47.01,15.48
Gössendorf,46.99,15.49
Thondorf,47.01,15.48
Grambach,47.01,15.50
Forstviertel,47.15,15.35
Kirchenviertel,47.13,15.35
Sankt Veit,47.13,15.38
Gratwein,47.13,15.32
Großstübing,47.19,15.23
Gschnaidt,47.14,15.18
Hart,47.00,15.50
Badegg,46.99,15.35
Haselsdorf,46.99,15.34
Haselsdorfberg,47.00,15.35
Tobelbad,46.98,15.37
Berndorf,47.02,15.28
Hausmannstätten,46.99,15.51
Altenberg,47.03,15.29
Altreiteregg,47.02,15.27
Berndorf,47.02,15.28
Doblegg,47.03,15.32
Höllberg,47.02,15.29
Hitzendorf,47.04,15.30
Holzberg,47.04,15.32
Mayersdorf,47.02,15.32
Michlbach,47.05,15.26
Neureiteregg,47.04,15.28
Niederberg,47.06,15.32
Oberberg,47.06,15.31
Pirka,47.00,15.39
Höf,47.10,15.60
Präbach,47.10,15.62
Hundsdorf,47.11,15.32
Judendorf,46.99,15.53
Kugelberg,47.10,15.31
Rötz,47.11,15.33
Straßengel,47.11,15.34
Hönigtal,47.09,15.56
Schaftal,47.11,15.53
Forst,46.98,15.45
Großsulz,46.95,15.49
Kalsdorf,46.96,15.48
Kleinsulz,46.96,15.49
Thalerhof,46.97,15.45
Kohldorf,47.01,15.64
Krumegg,47.02,15.63
Gschwendt,47.18,15.57
Hofstätten,47.19,15.56
Kumberg,47.16,15.53
Rabnitz,47.16,15.52
Hirtenfeld,47.05,15.64
Kogelbuch,47.06,15.63
Lambach,47.04,15.67
